City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san ignacio,17.1561,-89.0714,307.23,52,20,2.06,BZ,2024-09-01
1,avarua,-21.2078,-159.775,294.18,94,75,7.72,CK,2024-09-01
2,edinburgh of the seven seas,-37.0676,-12.3116,283.03,67,100,10.06,SH,2024-09-01
3,khasab,26.1799,56.2477,304.03,59,75,2.31,OM,2024-09-01
4,huaral,-11.495,-77.2078,293.1,65,49,3.44,PE,2024-09-01
5,blackmans bay,-43.0167,147.3167,279.22,89,99,4.82,AU,2024-09-01
6,vallenar,-28.5708,-70.7581,300.6,19,0,2.87,CL,2024-09-01
7,grytviken,-54.2811,-36.5092,273.73,81,5,1.35,GS,2024-09-01
8,new norfolk,-42.7826,147.0587,279.66,98,100,1.7,AU,2024-09-01
9,college,64.8569,-147.8028,284.12,74,100,1.54,US,2024-09-01
10,thames,-37.1333,175.5333,284.64,84,0,0.72,NZ,2024-09-01
11,quiberon,47.4841,-3.1196,291.54,83,9,6.11,FR,2024-09-01
12,port-aux-francais,-49.35,70.2167,272.71,67,100,16.28,TF,2024-09-01
13,arraial do cabo,-22.9661,-42.0278,297.13,69,0,7.72,BR,2024-09-01
14,qaqortoq,60.7167,-46.0333,277.84,59,4,1.64,GL,2024-09-01
15,paide,58.8856,25.5572,284.82,86,95,1.1,EE,2024-09-01
16,happy valley-goose bay,53.3168,-60.3315,293.32,77,100,7.72,CA,2024-09-01
17,bethel,41.3712,-73.414,298.92,85,100,3.6,US,2024-09-01
18,san juan,-31.5375,-68.5364,298.22,18,0,6.37,AR,2024-09-01
19,puerto natales,-51.7236,-72.4875,282.4,53,40,12.86,CL,2024-09-01
20,lompoc,34.6391,-120.4579,295.38,75,0,7.72,US,2024-09-01
21,tomatlan,19.9333,-105.25,304.77,61,95,3.1,MX,2024-09-01
22,ostersund,63.1792,14.6357,285.71,84,100,3.6,SE,2024-09-01
23,nar'yan-mar,67.6713,53.087,282.33,94,47,5.79,RU,2024-09-01
24,vila velha,-20.3297,-40.2925,297.12,78,0,8.23,BR,2024-09-01
25,laojunmiao,39.8333,97.7333,290.6,62,14,1.48,CN,2024-09-01
26,misratah,32.3754,15.0925,301.16,59,0,5.26,LY,2024-09-01
27,hawaiian paradise park,19.5933,-154.9731,300.88,84,100,6.17,US,2024-09-01
28,saudarkrokur,65.7461,-19.6394,284.43,78,99,4.87,IS,2024-09-01
29,punta arenas,-53.15,-70.9167,281.21,71,75,6.69,CL,2024-09-01
30,nemuro,43.3236,145.575,290.89,95,54,2.32,JP,2024-09-01
31,kasongo-lunda,-6.4667,16.8167,296.21,85,100,1.23,CD,2024-09-01
32,adamstown,-25.066,-130.1015,290.96,62,56,9.23,PN,2024-09-01
33,waitangi,-43.9535,-176.5597,284.16,98,33,1.79,NZ,2024-09-01
34,constantia,44.1833,28.65,293.54,81,24,2.21,RO,2024-09-01
35,kavaratti,10.5669,72.642,299.95,86,100,5.96,IN,2024-09-01
36,caconda,-13.7333,15.0667,293.53,25,77,1.82,AO,2024-09-01
37,puerto aysen,-45.4,-72.7,277.7,100,100,0.54,CL,2024-09-01
38,anadyr,64.75,177.4833,284.43,76,20,5.0,RU,2024-09-01
39,marondera,-18.1853,31.5519,282.25,46,0,4.39,ZW,2024-09-01
40,enewetak,11.3474,162.3373,301.79,78,35,6.79,MH,2024-09-01
41,lagoa,39.05,-27.9833,295.05,71,47,7.17,PT,2024-09-01
42,whitehorse,60.7161,-135.0538,286.58,59,75,6.71,CA,2024-09-01
43,al jawf,29.5,38.75,299.93,24,0,3.09,SA,2024-09-01
44,shingu,33.7333,135.9833,297.81,92,67,1.66,JP,2024-09-01
45,northam,51.0333,-4.2167,291.27,91,100,2.53,GB,2024-09-01
46,bayramaly,37.6185,62.1671,295.01,22,0,5.22,TM,2024-09-01
47,rio grande,-32.035,-52.0986,285.45,85,100,9.37,BR,2024-09-01
48,aasiaat,68.7098,-52.8699,275.08,80,97,1.37,GL,2024-09-01
49,talnakh,69.4865,88.3972,280.22,77,100,1.6,RU,2024-09-01
50,margaret river,-33.95,115.0667,283.46,87,62,2.73,AU,2024-09-01
51,noumea,-22.2763,166.4572,293.05,81,0,3.15,NC,2024-09-01
52,sokcho,38.2083,128.5911,298.49,73,94,2.57,KR,2024-09-01
53,ushuaia,-54.8,-68.3,282.96,50,20,4.12,AR,2024-09-01
54,bredasdorp,-34.5322,20.0403,283.32,93,85,3.15,ZA,2024-09-01
55,usakos,-22.0,15.6,299.23,17,3,4.25,NA,2024-09-01
56,puerto penasco,31.3167,-113.5333,312.14,55,0,6.69,MX,2024-09-01
57,ribeira grande,38.5167,-28.7,297.37,60,40,8.75,PT,2024-09-01
58,badger,64.8,-147.5333,284.08,83,100,1.54,US,2024-09-01
